,RecipeId,new_ingredients
0,44.0,chicken
1,44.0,butter
2,44.0,flour
3,44.0,milk
4,44.0,celery
5,44.0,button mushrooms
6,44.0,green pepper
7,44.0,canned pimiento
8,44.0,salt
9,44.0,black pepper
10,44.0,Worcestershire sauce
11,44.0,parsley
12,71.0,chicken
13,71.0,carrot
14,71.0,celery
15,71.0,onion
16,71.0,chicken bouillon cubes
17,71.0,butter
18,71.0,flour
19,71.0,sherry wine
20,71.0,lemon juice
21,71.0,salt
22,71.0,baking powder
23,71.0,salt
24,71.0,shortening
25,71.0,milk
26,71.0,peas
27,112.0,butter
28,112.0,flour
29,112.0,milk
30,112.0,chicken broth
31,112.0,eggs
32,112.0,parmesan cheese
33,112.0,butter
34,112.0,onion
35,112.0,garlic
36,112.0,chicken
37,112.0,broccoli
38,112.0,parsley
39,112.0,mozzarella cheese
40,112.0,parmesan cheese
41,112.0,salt
42,112.0,nutmeg
43,150.0,chicken
44,150.0,lemon pepper
45,150.0,salt
46,150.0,bell pepper
47,150.0,celery
48,150.0,carrot
49,150.0,green onion
50,150.0,garlic
51,150.0,water
52,162.0,onion
53,162.0,green pepper
54,162.0,skim milk
55,162.0,fresh mushrooms
56,162.0,pimiento
57,162.0,dried basil
58,162.0,nonfat cottage cheese
59,162.0,mozzarella cheese
60,162.0,parmesan cheese
61,162.0,chicken
62,162.0,cheddar cheese
63,173.0,chicken
64,173.0,cream cheese
65,173.0,butter
66,173.0,margarine
67,173.0,onions
68,173.0,chives
69,173.0,pimientos
70,173.0,milk
71,173.0,salt
72,173.0,pepper
73,173.0,croutons
74,173.0,butter
75,173.0,margarine
76,183.0,chicken
77,183.0,onion
78,183.0,sun-dried tomatoes
79,183.0,dried basil
80,183.0,mozzarella cheese
81,193.0,chicken
82,193.0,tomato sauce
83,193.0,soy sauce
84,193.0,dry sherry
85,193.0,white vinegar
86,193.0,chili powder
87,193.0,garlic
88,193.0,green ginger
89,323.0,chicken
90,323.0,salt
