DATE,APU0000703112,APU0000703111,APU0000703312,APU0000703425,APU0000703511,APU0000703613
1991-01-01,.,.,.,6.639,.,.
1991-02-01,.,.,.,6.337,.,.
1991-03-01,.,.,.,6.357,.,.
1991-04-01,.,.,.,6.303,.,.
1991-05-01,.,.,.,6.358,.,.
1991-06-01,.,.,.,6.027,.,.
1991-07-01,.,.,.,6.165,.,.
1991-08-01,.,.,.,6.173,.,.
1991-09-01,.,.,.,6.182,.,.
1991-10-01,.,.,.,5.909,.,.
1991-11-01,.,.,.,5.919,.,.
1991-12-01,.,.,.,6.125,.,.
1992-01-01,.,.,.,5.853,.,.
1992-02-01,.,.,.,5.994,.,.
1992-03-01,.,.,.,5.924,.,.
1992-04-01,.,.,.,5.994,.,.
1992-05-01,.,.,.,6.144,.,.
1992-06-01,.,.,.,6.174,.,.
1992-07-01,.,.,.,6.144,.,.
1992-08-01,.,.,.,6.019,.,.
1992-09-01,.,.,.,6.154,.,.
1992-10-01,.,.,.,6.223,.,.
1992-11-01,.,.,.,6.238,.,.
1992-12-01,.,.,.,6.191,.,.
1993-01-01,.,.,.,6.225,.,.
1993-02-01,.,.,.,6.186,.,.
1993-03-01,.,.,.,6.122,.,.
1993-04-01,.,.,.,6.246,.,.
1993-05-01,.,.,.,6.431,.,.
1993-06-01,.,.,.,6.646,.,.
1993-07-01,.,.,.,6.522,.,.
1993-08-01,.,.,.,6.517,.,.
1993-09-01,.,.,.,6.576,.,.
1993-10-01,.,.,.,6.522,.,.
1993-11-01,.,.,.,6.372,.,.
1993-12-01,.,.,.,6.544,.,.
1994-01-01,.,.,.,6.500,.,.
1994-02-01,.,.,.,6.291,.,.
1994-03-01,.,.,.,6.455,.,.
1994-04-01,.,.,.,6.359,.,.
1994-05-01,.,.,.,6.443,.,.
1994-06-01,.,.,.,6.265,.,.
1994-07-01,.,.,.,6.342,.,.
1994-08-01,.,.,.,6.326,.,.
1994-09-01,.,.,.,6.282,.,.
1994-10-01,.,.,.,6.429,.,.
1994-11-01,.,.,.,6.398,.,.
1994-12-01,.,.,.,6.395,.,.
1995-01-01,.,.,.,6.562,.,.
1995-02-01,.,.,.,6.308,.,.
1995-03-01,.,.,.,6.449,.,.
1995-04-01,.,.,.,6.439,.,.
1995-05-01,.,.,.,6.314,.,.
1995-06-01,.,.,.,6.404,.,.
1995-07-01,.,.,.,6.456,.,.
1995-08-01,.,.,.,6.414,.,.
1995-09-01,.,.,.,6.351,.,.
1995-10-01,.,.,.,6.262,.,.
1995-11-01,.,.,.,6.278,.,.
1995-12-01,.,.,.,6.696,.,.
1996-01-01,.,.,.,6.606,.,.
1996-02-01,.,.,.,6.225,.,.
1996-03-01,.,.,.,5.641,.,.
1996-04-01,.,.,.,5.762,.,.
1996-05-01,.,.,.,5.616,.,.
1996-06-01,.,.,.,5.696,.,.
1996-07-01,.,.,.,5.637,.,.
1996-08-01,.,.,.,5.675,.,.
1996-09-01,.,.,.,5.665,.,.
1996-10-01,.,.,.,5.572,.,.
1996-11-01,.,.,.,5.773,.,.
1996-12-01,.,.,.,5.898,.,.
1997-01-01,.,.,.,5.828,.,.
1997-02-01,.,.,.,5.534,.,.
1997-03-01,.,.,.,5.746,.,.
1997-04-01,.,.,.,5.712,.,.
1997-05-01,.,.,.,5.766,.,.
1997-06-01,.,.,.,5.779,.,.
1997-07-01,.,.,.,5.615,.,.
1997-08-01,.,.,.,5.748,.,.
1997-09-01,.,.,.,5.985,.,.
1997-10-01,.,.,.,5.849,.,.
1997-11-01,.,.,.,5.793,.,.
1997-12-01,.,.,.,5.943,.,.
1998-01-01,.,.,.,5.963,.,.
1998-02-01,.,.,.,5.768,.,.
