DATE,MEPAINUSSOA672N,MEPAINUSA672N
1974-01-01,23940,26990
1975-01-01,23840,26450
1976-01-01,24360,26520
1977-01-01,24690,26680
1978-01-01,24470,26460
1979-01-01,24120,25730
1980-01-01,23970,25380
1981-01-01,23610,24880
1982-01-01,23840,25140
1983-01-01,24450,25650
1984-01-01,25260,26390
1985-01-01,25360,26970
1986-01-01,25840,27830
1987-01-01,26640,28220
1988-01-01,26840,29080
1989-01-01,27120,29840
1990-01-01,27030,29540
1991-01-01,26870,29110
1992-01-01,26610,28800
1993-01-01,27150,29100
1994-01-01,27680,29430
1995-01-01,28480,30250
1996-01-01,29380,30900
1997-01-01,30720,32260
1998-01-01,32300,33850
1999-01-01,32820,34220
2000-01-01,33190,34570
2001-01-01,33120,34470
2002-01-01,33120,34330
2003-01-01,33200,34470
2004-01-01,32860,34430
2005-01-01,33240,35070
2006-01-01,35030,36140
2007-01-01,35200,36370
2008-01-01,33580,34930
2009-01-01,33170,34570
2010-01-01,33290,34160
2011-01-01,33060,33650
2012-01-01,32580,33510
2013-01-01,32040,33950
2014-01-01,33020,34780
2015-01-01,34530,36610
2016-01-01,36120,37310
2017-01-01,36460,37690
2018-01-01,36750,38960
2019-01-01,38150,40980
2020-01-01,37160,40420
2021-01-01,38150,40460
2022-01-01,37860,40480
